"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"153","Finland",0.001932,153,0.001997,154,0.002127,152,0,0,0,0,0,0,1,0,1,4,0,0.978,0,1,0,0,2.192,22.41,-1.534,6.364,1.389,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.741,1,375,2023
"154","Norway",0.001886,154,0.00197,155,0.002053,155,0,0,0,0,0,0,1,0,1,4,0,0.859,0,1,0,0,2.599,22.4,-0.6234,6.316,1.371,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.895,1,385,2023
"155","Lithuania",0.001869,155,0.001906,158,0.002074,153,0,0,0,0,0,0,1,0,1,4,0,0.824,0,1,0,0,1.112,21.45,-1.733,7.259,1.682,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,368,2023
"156","Solomon Islands",0.00183,156,0.001966,156,0.002069,154,0,0,0,0,0,0,1,0,1,4,0,0.853,0,1,0,0,-0.077,19.5,0.7044,6.286,3.81,0.097,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.524,1,940,2023
"157","Latvia",0.001788,157,0.001812,160,0.001998,156,0,0,0,0,0,0,1,0,2,4,0,0.975,0,1,0,0,1.437,20.84,-0.408,7.044,1.703,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,367,2023
"158","Cuba",0.001737,158,0.002456,136,0.001935,157,0,0,0,1,1,0,0,0,1,2,0,0.071,0,1,1,0,2.165,23.42,2.176,6.473,2.089,0.517,0,1,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.931,1,40,2023
"159","Slovenia",0.001644,159,0.001736,162,0.001833,159,0,0,0,0,0,0,1,0,1,4,0,0.86,0,1,0,0,1.691,21.02,1.158,7.334,1.345,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,349,2023
"160","Cape Verde",0.001642,160,0.001768,161,0.001834,158,0,0,0,0,0,0,1,0,1,4,0,0.929,0,1,0,0,0.81,19.19,4.177,6.553,3.136,0.442,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.615,1,402,2023
"161","Trinidad and Tobago",0.001614,161,0.001895,159,0.001469,166,0,0,0,0,0,0,1,0,1,4,0,0.88,0,1,0,1,0.893,20.55,1.844,-0.6188,3.676,0.655,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.954,1,52,2023
"162","Estonia",0.001555,162,0.001666,164,0.001743,160,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,1.408,20.38,-4.237,7.287,1.183,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,366,2023
"163","Luxembourg",0.001433,163,0.001596,165,0.001562,163,0,0,0,0,0,0,1,0,1,4,0,0.953,0,1,0,0,1.782,19.35,-3.389,8.623,2.108,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.295,1,212,2023
